PostgreSQL  
ABORT non-reserved
ABSOLUTE  non-reserved
ACCESS  non-reserved
ACTION  non-reserved
ADD non-reserved
ADMIN non-reserved
AFTER non-reserved
AGGREGATE non-reserved
ALL reserved
ALSO  non-reserved
ALTER non-reserved
ALWAYS  non-reserved
ANALYSE reserved
ANALYZE reserved
AND reserved
ANY reserved
ARRAY reserved
AS  reserved
ASC reserved
ASSERTION non-reserved
ASSIGNMENT  non-reserved
ASYMMETRIC  reserved
AT  non-reserved
AUTHORIZATION reserved (can be function or type)
BACKWARD  non-reserved
BEFORE  non-reserved
BEGIN non-reserved
BETWEEN non-reserved (cannot be function or type)
BIGINT  non-reserved (cannot be function or type)
BINARY  reserved (can be function or type)
BIT non-reserved (cannot be function or type)
BOOLEAN non-reserved (cannot be function or type)
BOTH  reserved
BY  non-reserved
CACHE non-reserved
CALLED  non-reserved
CASCADE non-reserved
CASCADED  non-reserved
CASE  reserved
CAST  reserved
CATALOG non-reserved
CHAIN non-reserved
CHAR  non-reserved (cannot be function or type)
CHARACTER non-reserved (cannot be function or type)
CHARACTERISTICS non-reserved
CHECK reserved
CHECKPOINT  non-reserved
CLASS non-reserved
CLOSE non-reserved
CLUSTER non-reserved
COALESCE  non-reserved (cannot be function or type)
COLLATE reserved
COLUMN  reserved
COMMENT non-reserved
COMMENTS  non-reserved
COMMIT  non-reserved
COMMITTED non-reserved
CONCURRENTLY  reserved (can be function or type)
CONFIGURATION non-reserved
CONNECTION  non-reserved
CONSTRAINT  reserved
CONSTRAINTS non-reserved
CONTENT non-reserved
CONTINUE  non-reserved
CONVERSION  non-reserved
COPY  non-reserved
COST  non-reserved
CREATE  reserved
CREATEDB  non-reserved
CREATEROLE  non-reserved
CREATEUSER  non-reserved
CROSS reserved (can be function or type)
CSV non-reserved
CURRENT non-reserved
CURRENT_CATALOG reserved
CURRENT_DATE  reserved
CURRENT_ROLE  reserved
CURRENT_SCHEMA  reserved (can be function or type)
CURRENT_TIME  reserved
CURRENT_TIMESTAMP reserved
CURRENT_USER  reserved
CURSOR  non-reserved
CYCLE non-reserved
DATA  non-reserved
DATABASE  non-reserved
DAY non-reserved
DEALLOCATE  non-reserved
DEC non-reserved (cannot be function or type)
DECIMAL non-reserved (cannot be function or type)
DECLARE non-reserved
DEFAULT reserved
DEFAULTS  non-reserved
DEFERRABLE  reserved
DEFERRED  non-reserved
DEFINER non-reserved
DELETE  non-reserved
DELIMITER non-reserved
DELIMITERS  non-reserved
DESC  reserved
DICTIONARY  non-reserved
DISABLE non-reserved
DISCARD non-reserved
DISTINCT  reserved
DO  reserved
DOCUMENT  non-reserved
DOMAIN  non-reserved
DOUBLE  non-reserved
DROP  non-reserved
EACH  non-reserved
ELSE  reserved
ENABLE  non-reserved
ENCODING  non-reserved
ENCRYPTED non-reserved
END reserved
ENUM  non-reserved
ESCAPE  non-reserved
EXCEPT  reserved
EXCLUDE non-reserved
EXCLUDING non-reserved
EXCLUSIVE non-reserved
EXECUTE non-reserved
EXISTS  non-reserved (cannot be function or type)
EXPLAIN non-reserved
EXTERNAL  non-reserved
EXTRACT non-reserved (cannot be function or type)
FALSE reserved
FAMILY  non-reserved
FETCH reserved
FIRST non-reserved
FLOAT non-reserved (cannot be function or type)
FOLLOWING non-reserved
FOR reserved
FORCE non-reserved
FOREIGN reserved
FORWARD non-reserved
FREEZE  reserved (can be function or type)
FROM  reserved
FULL  reserved (can be function or type)
FUNCTION  non-reserved
FUNCTIONS non-reserved
GLOBAL  non-reserved
GRANT reserved
GRANTED non-reserved
GREATEST  non-reserved (cannot be function or type)
GROUP reserved
HANDLER non-reserved
HAVING  reserved
HEADER  non-reserved
HOLD  non-reserved
HOUR  non-reserved
IDENTITY  non-reserved
IF  non-reserved
ILIKE reserved (can be function or type)
IMMEDIATE non-reserved
IMMUTABLE non-reserved
IMPLICIT  non-reserved
IN  reserved
INCLUDING non-reserved
INCREMENT non-reserved
INDEX non-reserved
INDEXES non-reserved
INHERIT non-reserved
INHERITS  non-reserved
INITIALLY reserved
INLINE  non-reserved
INNER reserved (can be function or type)
INOUT non-reserved (cannot be function or type)
INPUT non-reserved
INSENSITIVE non-reserved
INSERT  non-reserved
INSTEAD non-reserved
INT non-reserved (cannot be function or type)
INTEGER non-reserved (cannot be function or type)
INTERSECT reserved
INTERVAL  non-reserved (cannot be function or type)
INTO  reserved
INVOKER non-reserved
IS  reserved (can be function or type)
ISNULL  reserved (can be function or type)
ISOLATION non-reserved
JOIN  reserved (can be function or type)
KEY non-reserved
LANGUAGE  non-reserved
LARGE non-reserved
LAST  non-reserved
LC_COLLATE  non-reserved
LC_CTYPE  non-reserved
LEADING reserved
LEAST non-reserved (cannot be function or type)
LEFT  reserved (can be function or type)
LEVEL non-reserved
LIKE  reserved (can be function or type)
LIMIT reserved
LISTEN  non-reserved
LOAD  non-reserved
LOCAL non-reserved
LOCALTIME reserved
LOCALTIMESTAMP  reserved
LOCATION  non-reserved
LOCK  non-reserved
LOGIN non-reserved
MAPPING non-reserved
MATCH non-reserved
MAXVALUE  non-reserved
MINUTE  non-reserved
MINVALUE  non-reserved
MODE  non-reserved
MONTH non-reserved
MOVE  non-reserved
NAME  non-reserved
NAMES non-reserved
NATIONAL  non-reserved (cannot be function or type)
NATURAL reserved (can be function or type)
NCHAR non-reserved (cannot be function or type)
NEXT  non-reserved
NO  non-reserved
NOCREATEDB  non-reserved
NOCREATEROLE  non-reserved
NOCREATEUSER  non-reserved
NOINHERIT non-reserved
NOLOGIN non-reserved
NONE  non-reserved (cannot be function or type)
NOSUPERUSER non-reserved
NOT reserved
NOTHING non-reserved
NOTIFY  non-reserved
NOTNULL reserved (can be function or type)
NOWAIT  non-reserved
NULL  reserved
NULLIF  non-reserved (cannot be function or type)
NULLS non-reserved
NUMERIC non-reserved (cannot be function or type)
OBJECT  non-reserved
OF  non-reserved
OFF non-reserved
OFFSET  reserved
OIDS  non-reserved
ON  reserved
ONLY  reserved
OPERATOR  non-reserved
OPTION  non-reserved
OPTIONS non-reserved
OR  reserved
ORDER reserved
OUT non-reserved (cannot be function or type)
OUTER reserved (can be function or type)
OVER  reserved (can be function or type)
OVERLAPS  reserved (can be function or type)
OVERLAY non-reserved (cannot be function or type)
OWNED non-reserved
OWNER non-reserved
PARSER  non-reserved
PARTIAL non-reserved
PARTITION non-reserved
PASSWORD  non-reserved
PLACING reserved
PLANS non-reserved
POSITION  non-reserved (cannot be function or type)
PRECEDING non-reserved
PRECISION non-reserved (cannot be function or type)
PREPARE non-reserved
PREPARED  non-reserved
PRESERVE  non-reserved
PRIMARY reserved
PRIOR non-reserved
PRIVILEGES  non-reserved
PROCEDURAL  non-reserved
PROCEDURE non-reserved
QUOTE non-reserved
RANGE non-reserved
READ  non-reserved
REAL  non-reserved (cannot be function or type)
REASSIGN  non-reserved
RECHECK non-reserved
RECURSIVE non-reserved
REFERENCES  reserved
REINDEX non-reserved
RELATIVE  non-reserved
RELEASE non-reserved
RENAME  non-reserved
REPEATABLE  non-reserved
REPLACE non-reserved
REPLICA non-reserved
RESET non-reserved
RESTART non-reserved
RESTRICT  non-reserved
RETURNING reserved
RETURNS non-reserved
REVOKE  non-reserved
RIGHT reserved (can be function or type)
ROLE  non-reserved
ROLLBACK  non-reserved
ROW non-reserved (cannot be function or type)
ROWS  non-reserved
RULE  non-reserved
SAVEPOINT non-reserved
SCHEMA  non-reserved
SCROLL  non-reserved
SEARCH  non-reserved
SECOND  non-reserved
SECURITY  non-reserved
SELECT  reserved
SEQUENCE  non-reserved
SEQUENCES non-reserved
SERIALIZABLE  non-reserved
SERVER  non-reserved
SESSION non-reserved
SESSION_USER  reserved
SET non-reserved
SETOF non-reserved (cannot be function or type)
SHARE non-reserved
SHOW  non-reserved
SIMILAR reserved (can be function or type)
SIMPLE  non-reserved
SMALLINT  non-reserved (cannot be function or type)
SOME  reserved
STABLE  non-reserved
STANDALONE  non-reserved
START non-reserved
STATEMENT non-reserved
STATISTICS  non-reserved
STDIN non-reserved
STDOUT  non-reserved
STORAGE non-reserved
STRICT  non-reserved
STRIP non-reserved
SUBSTRING non-reserved (cannot be function or type)
SUPERUSER non-reserved
SYMMETRIC reserved
SYSID non-reserved
SYSTEM  non-reserved
TABLE reserved
TABLES  non-reserved
TABLESPACE  non-reserved
TEMP  non-reserved
TEMPLATE  non-reserved
TEMPORARY non-reserved
TEXT  non-reserved
THEN  reserved
TIME  non-reserved (cannot be function or type)
TIMESTAMP non-reserved (cannot be function or type)
TO  reserved
TRAILING  reserved
TRANSACTION non-reserved
TREAT non-reserved (cannot be function or type)
TRIGGER non-reserved
TRIM  non-reserved (cannot be function or type)
TRUE  reserved
TRUNCATE  non-reserved
TRUSTED non-reserved
TYPE  non-reserved
UNBOUNDED non-reserved
UNCOMMITTED non-reserved
UNENCRYPTED non-reserved
UNION reserved
UNIQUE  reserved
UNKNOWN non-reserved
UNLISTEN  non-reserved
UNTIL non-reserved
UPDATE  non-reserved
USER  reserved
USING reserved
VACUUM  non-reserved
VALID non-reserved
VALIDATOR non-reserved
VALUE non-reserved
VALUES  non-reserved (cannot be function or type)
VARCHAR non-reserved (cannot be function or type)
VARIADIC  reserved
VARYING non-reserved
VERBOSE reserved (can be function or type)
VERSION non-reserved
VIEW  non-reserved
VOLATILE  non-reserved
WHEN  reserved
WHERE reserved
WHITESPACE  non-reserved
WINDOW  reserved
WITH  reserved
WITHOUT non-reserved
WORK  non-reserved
WRAPPER non-reserved
WRITE non-reserved
XML non-reserved
XMLATTRIBUTES non-reserved (cannot be function or type)
XMLCONCAT non-reserved (cannot be function or type)
XMLELEMENT  non-reserved (cannot be function or type)
XMLFOREST non-reserved (cannot be function or type)
XMLPARSE  non-reserved (cannot be function or type)
XMLPI non-reserved (cannot be function or type)
XMLROOT non-reserved (cannot be function or type)
XMLSERIALIZE  non-reserved (cannot be function or type)
YEAR  non-reserved
YES non-reserved
ZONE  non-reserved
